Plate,Well,Fluor,Target,Content,Sample,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,A04,FAM,HSP90AA1,Unkn-01,30C,27.91139951,28.19931339,0.28791388,0.579752082,27.61956131,28.77906547,456.3821356,1629.303092,5,8146.51546
1,A05,FAM,HSP90AA1,Unkn-01,30C,28.48722727,28.19931339,0.28791388,0.579752082,27.61956131,28.77906547,456.3821356,1087.748201,5,5438.741006
1,A07,FAM,HSP90AA1,Unkn-09,40C,31.00268976,31.28571515,0.283025389,0.666464816,30.61925033,31.95217997,56.49995884,186.2022276,5,931.011138
1,A09,FAM,HSP90AA1,Unkn-09,40C,31.56874054,31.28571515,0.283025389,0.666464816,30.61925033,31.95217997,56.49995884,125.1672556,5,625.836278
1,A10,FAM,HSP90AA1,Unkn-17,30C,34.14141235,34.06156928,0.079843062,0.459012339,33.60255695,34.52058162,9.262708747,20.5832374,5,102.916187
1,A12,FAM,HSP90AA1,Unkn-17,30C,33.98172622,34.06156928,0.079843062,0.459012339,33.60255695,34.52058162,9.262708747,23.02370731,5,115.1185366
1,B04,FAM,HSP90AA1,Unkn-02,40C,30.15389356,30.485752,0.331858441,0.767816746,29.71793526,31.25356875,111.5291553,337.7853193,5,1688.926596
1,B05,FAM,HSP90AA1,Unkn-02,40C,30.81761045,30.485752,0.331858441,0.767816746,29.71793526,31.25356875,111.5291553,212.023783,5,1060.118915
1,B10,FAM,HSP90AA1,Unkn-18,40C,35.09629752,34.99608157,0.100215958,0.518293257,34.47778831,35.51437482,5.619886215,10.53244042,5,52.66220211
1,B12,FAM,HSP90AA1,Unkn-18,40C,34.89586561,34.99608157,0.100215958,0.518293257,34.47778831,35.51437482,5.619886215,12.12291768,5,60.61458841
1,C04,FAM,HSP90AA1,Unkn-03,30C,32.41061696,32.67697308,0.266356125,0.548817174,32.12815591,33.22579026,18.69751159,69.33356229,5,346.6678115
1,C05,FAM,HSP90AA1,Unkn-03,30C,32.94332921,32.67697308,0.266356125,0.548817174,32.12815591,33.22579026,18.69751159,47.70992228,5,238.5496114
1,C08,FAM,HSP90AA1,Unkn-11,40C,30.00263628,30.01194824,0.009311951,0.623518223,29.38843001,30.63546646,114.4866989,375.607105,5,1878.035525
1,C09,FAM,HSP90AA1,Unkn-11,40C,30.02126019,30.01194824,0.009311951,0.623518223,29.38843001,30.63546646,114.4866989,370.7306463,5,1853.653232
1,C10,FAM,HSP90AA1,Unkn-19,30C,31.84316816,31.58540926,0.257758897,0.226059215,31.35935005,31.81146848,18.9083689,103.2437283,5,516.2186417
1,C11,FAM,HSP90AA1,Unkn-19,30C,31.42085024,31.58540926,0.16455902,0.226059215,31.35935005,31.81146848,18.9083689,138.8537871,5,694.2689355
1,C12,FAM,HSP90AA1,Unkn-19,30C,31.49220939,31.58540926,0.093199877,0.226059215,31.35935005,31.81146848,18.9083689,132.0724608,5,660.362304
1,D05,FAM,HSP90AA1,Unkn-04,40C,32.03264735,32.13279756,0.100150201,0.457407011,31.67539054,32.59020457,35.41144579,90.39058266,5,451.9529133
1,D06,FAM,HSP90AA1,Unkn-04,40C,32.23294776,32.13279756,0.100150201,0.457407011,31.67539054,32.59020457,35.41144579,78.53895481,5,392.6947741
1,D07,FAM,HSP90AA1,Unkn-12,30C,29.15093603,29.15914466,0.008208624,0.1196683,29.03947636,29.27881296,56.83956732,682.7703556,5,3413.851778
1,D08,FAM,HSP90AA1,Unkn-12,30C,29.28270593,29.15914466,0.123561274,0.1196683,29.03947636,29.27881296,56.83956732,622.4723558,5,3112.361779
1,D09,FAM,HSP90AA1,Unkn-12,30C,29.04379201,29.15914466,0.11535265,0.1196683,29.03947636,29.27881296,56.83956732,736.0798643,5,3680.399322
1,D10,FAM,HSP90AA1,Unkn-20,40C,32.94521151,33.3238558,0.378644288,1.264970983,32.05888481,34.58882678,70.29153289,47.64695054,5,238.2347527
1,D12,FAM,HSP90AA1,Unkn-20,40C,33.70250009,33.3238558,0.378644288,1.264970983,32.05888481,34.58882678,70.29153289,28.00686971,5,140.0343485
1,E04,FAM,HSP90AA1,Unkn-05,30C,28.5996484,28.82175745,0.222109055,0.488420532,28.33333692,29.31017798,249.400355,1005.240524,5,5026.202622
1,E05,FAM,HSP90AA1,Unkn-05,30C,29.04386651,28.82175745,0.222109055,0.488420532,28.33333692,29.31017798,249.400355,736.0413866,5,3680.206933
1,E07,FAM,HSP90AA1,Unkn-13,40C,32.21385647,31.9665782,0.24727827,0.294479805,31.6720984,32.26105801,20.47786736,79.59812811,5,397.9906405
1,E08,FAM,HSP90AA1,Unkn-13,40C,32.0450738,31.9665782,0.078495593,0.294479805,31.6720984,32.26105801,20.47786736,89.60586644,5,448.0293322
1,E09,FAM,HSP90AA1,Unkn-13,40C,31.64080434,31.9665782,0.325773863,0.294479805,31.6720984,32.26105801,20.47786736,118.9955001,5,594.9775004
1,E11,FAM,HSP90AA1,Unkn-21,30C,32.78048668,32.92845157,0.14796489,0.682206557,32.24624501,33.61065813,34.90734515,53.4850174,5,267.425087
1,E12,FAM,HSP90AA1,Unkn-21,30C,33.07641646,32.92845157,0.14796489,0.682206557,32.24624501,33.61065813,34.90734515,43.45629346,5,217.2814673
1,F04,FAM,HSP90AA1,Unkn-06,40C,31.36876727,31.61948839,0.250721116,0.677248401,30.94223999,32.29673679,43.90159316,144.0220899,5,720.1104496
1,F05,FAM,HSP90AA1,Unkn-06,40C,31.87020951,31.61948839,0.250721116,0.677248401,30.94223999,32.29673679,43.90159316,101.3032312,5,506.5161562
1,F08,FAM,HSP90AA1,Unkn-14,30C,33.67863758,33.44726824,0.231369339,0.848627743,32.59864049,34.29589598,33.02925341,28.47975549,5,142.3987774
1,F09,FAM,HSP90AA1,Unkn-14,30C,33.2158989,33.44726824,0.231369339,0.848627743,32.59864049,34.29589598,33.02925341,39.40468235,5,197.0234118
1,F10,FAM,HSP90AA1,Unkn-22,40C,30.45346312,30.75205954,0.298596422,0.870654379,29.88140516,31.62271392,95.79926617,273.748754,5,1368.74377
1,F12,FAM,HSP90AA1,Unkn-22,40C,31.05065596,30.75205954,0.298596422,0.870654379,29.88140516,31.62271392,95.79926617,180.0395857,5,900.1979286
1,G05,FAM,HSP90AA1,Unkn-07,30C,29.96789782,30.25416293,0.286265115,0.868096608,29.38606633,31.12225954,313.2269229,384.8750362,5,1924.375181
1,G06,FAM,HSP90AA1,Unkn-07,30C,30.54042805,30.25416293,0.286265115,0.868096608,29.38606633,31.12225954,313.2269229,257.5438002,5,1287.719001
1,G08,FAM,HSP90AA1,Unkn-15,40C,31.98083404,31.69139571,0.289438324,0.875570252,30.81582546,32.56696596,115.7421678,93.73729029,5,468.6864514
1,G09,FAM,HSP90AA1,Unkn-15,40C,31.40195739,31.69139571,0.289438324,0.875570252,30.81582546,32.56696596,115.7421678,140.7067716,5,703.5338579
1,G11,FAM,HSP90AA1,Unkn-23,30C,31.00076036,31.24010945,0.23934909,0.652209052,30.5879004,31.8923185,101.4929078,186.4544804,5,932.2724022
1,G12,FAM,HSP90AA1,Unkn-23,30C,31.47945854,31.24010945,0.23934909,0.652209052,30.5879004,31.8923185,101.4929078,133.2594044,5,666.2970222
1,H04,FAM,HSP90AA1,Unkn-08,40C,29.85536212,30.24440594,0.389043817,0.381615331,29.86279061,30.62602127,86.83918328,416.4981163,5,2082.490581
1,H05,FAM,HSP90AA1,Unkn-08,40C,30.25972422,30.24440594,0.015318275,0.381615331,29.86279061,30.62602127,86.83918328,313.6105885,5,1568.052943
1,H06,FAM,HSP90AA1,Unkn-08,40C,30.61813148,30.24440594,0.373725542,0.381615331,29.86279061,30.62602127,86.83918328,243.8778335,5,1219.389167
1,H07,FAM,HSP90AA1,Unkn-16,30C,33.3232054,33.35825922,0.035053826,0.771722158,32.58653707,34.12998138,12.55768411,36.54668909,5,182.7334454
1,H09,FAM,HSP90AA1,Unkn-16,30C,33.39331305,33.35825922,0.035053826,0.771722158,32.58653707,34.12998138,12.55768411,34.79236491,5,173.9618245
1,H10,FAM,HSP90AA1,Unkn-24,40C,35.06095135,35.53204017,0.471088816,0.432750339,35.09928983,35.96479051,2.507783829,10.79692645,5,53.98463227
1,H11,FAM,HSP90AA1,Unkn-24,40C,35.91190835,35.53204017,0.379868179,0.432750339,35.09928983,35.96479051,2.507783829,5.942726996,5,29.71363498
1,H12,FAM,HSP90AA1,Unkn-24,40C,35.62326081,35.53204017,0.091220638,0.432750339,35.09928983,35.96479051,2.507783829,7.276894927,5,36.38447464
1,A04,HEX,EEF2,Unkn-01,30C,26.05694404,26.34053224,0.283588191,0.584449748,25.75608249,26.92498198,2681.597639,9534.767599,5,47673.83799
1,A05,HEX,EEF2,Unkn-01,30C,26.62412043,26.34053224,0.283588191,0.584449748,25.75608249,26.92498198,2681.597639,6403.678075,5,32018.39037
1,A07,HEX,EEF2,Unkn-09,40C,29.69780166,29.85585047,0.158048816,0.384482888,29.47136759,30.24033336,168.6630349,740.5304983,5,3702.652492
1,A08,HEX,EEF2,Unkn-09,40C,30.29416936,29.85585047,0.438318883,0.384482888,29.47136759,30.24033336,168.6630349,487.2642449,5,2436.321224
1,A09,HEX,EEF2,Unkn-09,40C,29.57558041,29.85585047,0.280270067,0.384482888,29.47136759,30.24033336,168.6630349,806.8580196,5,4034.290098
1,A10,HEX,EEF2,Unkn-17,30C,29.92700176,29.6617066,0.265295157,0.630034742,29.03167186,30.29174134,455.0433375,630.4935279,5,3152.467639
1,A12,HEX,EEF2,Unkn-17,30C,29.39641145,29.6617066,0.265295157,0.630034742,29.03167186,30.29174134,455.0433375,914.9755325,5,4574.877663
1,B04,HEX,EEF2,Unkn-02,40C,28.0393484,28.30098898,0.261640577,0.666772687,27.63421629,28.96776167,717.6052893,2371.673387,5,11858.36694
1,B05,HEX,EEF2,Unkn-02,40C,28.56262956,28.30098898,0.261640577,0.666772687,27.63421629,28.96776167,717.6052893,1642.683642,5,8213.418209
1,B10,HEX,EEF2,Unkn-18,40C,32.54318964,32.06924246,0.473947185,0.475430424,31.59381204,32.54467288,47.94033753,100.5176451,5,502.5882254
1,B11,HEX,EEF2,Unkn-18,40C,31.59234255,32.06924246,0.476899909,0.475430424,31.59381204,32.54467288,47.94033753,195.9157346,5,979.5786732
1,B12,HEX,EEF2,Unkn-18,40C,32.07219518,32.06924246,0.002952724,0.475430424,31.59381204,32.54467288,47.94033753,139.896157,5,699.4807852
1,C04,HEX,EEF2,Unkn-03,30C,28.56007255,28.96798213,0.407909576,0.443308224,28.52467391,29.41129035,379.3360283,1645.634298,5,8228.171492
1,C05,HEX,EEF2,Unkn-03,30C,28.90411326,28.96798213,0.063868875,0.443308224,28.52467391,29.41129035,379.3360283,1292.607092,5,6463.035458
1,C06,HEX,EEF2,Unkn-03,30C,29.43976058,28.96798213,0.471778451,0.443308224,28.52467391,29.41129035,379.3360283,887.5570178,5,4437.785089
1,C08,HEX,EEF2,Unkn-11,40C,29.13352695,29.01283079,0.120696154,0.715111958,28.29771883,29.72794275,413.1016051,1100.370944,5,5501.854721
1,C09,HEX,EEF2,Unkn-11,40C,28.89213464,29.01283079,0.120696154,0.715111958,28.29771883,29.72794275,413.1016051,1303.520088,5,6517.600439
1,C10,HEX,EEF2,Unkn-19,30C,31.30834652,31.13656593,0.171780588,0.193343605,30.94322233,31.32990954,37.43977129,239.1299316,5,1195.649658
1,C11,HEX,EEF2,Unkn-19,30C,30.92718345,31.13656593,0.209382487,0.193343605,30.94322233,31.32990954,37.43977129,312.4755058,5,1562.377529
1,C12,HEX,EEF2,Unkn-19,30C,31.17416783,31.13656593,0.037601899,0.193343605,30.94322233,31.32990954,37.43977129,262.7440249,5,1313.720125
1,D04,HEX,EEF2,Unkn-04,40C,27.70574923,28.18397484,0.478225606,0.481983036,27.7019918,28.66595787,739.3288204,2997.36065,5,14986.80325
1,D05,HEX,EEF2,Unkn-04,40C,28.17654586,28.18397484,0.007428978,0.481983036,27.7019918,28.66595787,739.3288204,2153.951022,5,10769.75511
1,D06,HEX,EEF2,Unkn-04,40C,28.66962942,28.18397484,0.485654584,0.481983036,27.7019918,28.66595787,739.3288204,1523.840042,5,7619.200212
1,D07,HEX,EEF2,Unkn-12,30C,30.5537742,30.48872905,0.065045145,0.243220588,30.24550846,30.73194964,75.28020191,406.1014892,5,2030.507446
1,D08,HEX,EEF2,Unkn-12,30C,30.69281396,30.48872905,0.204084911,0.243220588,30.24550846,30.73194964,75.28020191,368.3443155,5,1841.721577
1,D09,HEX,EEF2,Unkn-12,30C,30.219599,30.48872905,0.269130056,0.243220588,30.24550846,30.73194964,75.28020191,513.4454173,5,2567.227086
1,D10,HEX,EEF2,Unkn-20,40C,29.17454167,29.27654566,0.10200399,1.328046892,27.94849877,30.60459256,2298.762741,1069.147056,5,5345.735282
1,D12,HEX,EEF2,Unkn-20,40C,29.37854965,29.27654566,0.10200399,1.328046892,27.94849877,30.60459256,2298.762741,926.5181269,5,4632.590634
1,E04,HEX,EEF2,Unkn-05,30C,26.86435716,27.08165742,0.217300258,0.507856839,26.57380058,27.58951426,1376.066243,5410.072775,5,27050.36387
1,E05,HEX,EEF2,Unkn-05,30C,27.29895768,27.08165742,0.217300258,0.507856839,26.57380058,27.58951426,1376.066243,3987.795138,5,19938.97569
1,E07,HEX,EEF2,Unkn-13,40C,30.5267614,30.40593162,0.120829781,0.299431011,30.10650061,30.70536263,100.4846152,413.8741806,5,2069.370903
1,E08,HEX,EEF2,Unkn-13,40C,30.06496539,30.40593162,0.340966228,0.299431011,30.10650061,30.70536263,100.4846152,572.3056583,5,2861.528291
1,E09,HEX,EEF2,Unkn-13,40C,30.62606806,30.40593162,0.220136447,0.299431011,30.10650061,30.70536263,100.4846152,386.0101648,5,1930.050824
1,E11,HEX,EEF2,Unkn-21,30C,30.20392622,30.24917011,0.045243887,0.704448098,29.54472201,30.95361821,392.2664925,519.1244556,5,2595.622278
1,E12,HEX,EEF2,Unkn-21,30C,30.294414,30.24917011,0.045243887,0.704448098,29.54472201,30.95361821,392.2664925,487.1805887,5,2435.902944
1,F04,HEX,EEF2,Unkn-06,40C,27.66437958,27.84742866,0.183049088,0.588788052,27.25864061,28.43621672,860.3928532,3085.665579,5,15428.3279
1,F05,HEX,EEF2,Unkn-06,40C,28.03047775,27.84742866,0.183049088,0.588788052,27.25864061,28.43621672,860.3928532,2386.485155,5,11932.42577
1,F08,HEX,EEF2,Unkn-14,30C,32.1705784,31.96055312,0.21002528,0.965871077,30.99468204,32.9264242,187.8249323,130.5622628,5,652.8113142
1,F09,HEX,EEF2,Unkn-14,30C,31.75052784,31.96055312,0.21002528,0.965871077,30.99468204,32.9264242,187.8249323,175.3286844,5,876.6434222
1,F10,HEX,EEF2,Unkn-22,40C,29.07772238,29.28600303,0.208280643,0.85124162,28.43476141,30.13724465,395.2192347,1144.32362,5,5721.618102
1,F12,HEX,EEF2,Unkn-22,40C,29.49428367,29.28600303,0.208280643,0.85124162,28.43476141,30.13724465,395.2192347,854.234524,5,4271.17262
1,G05,HEX,EEF2,Unkn-07,30C,28.26239531,28.50492568,0.242530376,0.578231483,27.9266942,29.08315717,915.4833425,2028.000769,5,10140.00385
1,G06,HEX,EEF2,Unkn-07,30C,28.74745606,28.50492568,0.242530376,0.578231483,27.9266942,29.08315717,915.4833425,1442.836434,5,7214.182168
1,G10,HEX,EEF2,Unkn-23,30C,28.8917966,29.16760703,0.275810431,0.737471077,28.43013595,29.9050781,418.0142076,1303.82939,5,6519.146948
1,G11,HEX,EEF2,Unkn-23,30C,29.44341746,29.16760703,0.275810431,0.737471077,28.43013595,29.9050781,418.0142076,885.2819559,5,4426.40978
1,H04,HEX,EEF2,Unkn-08,40C,28.23896812,28.62220088,0.383232758,0.344316873,28.27788401,28.96651775,403.3839309,2061.62152,5,10308.1076
1,H05,HEX,EEF2,Unkn-08,40C,28.72214612,28.62220088,0.099945236,0.344316873,28.27788401,28.96651775,403.3839309,1468.69564,5,7343.478198
1,H06,HEX,EEF2,Unkn-08,40C,28.9054884,28.62220088,0.283287522,0.344316873,28.27788401,28.96651775,403.3839309,1291.360139,5,6456.800694
1,H07,HEX,EEF2,Unkn-16,30C,30.22716575,30.20759983,0.019565918,0.975530953,29.23206888,31.18313078,207.7533386,510.7258809,5,2553.629404
1,H09,HEX,EEF2,Unkn-16,30C,30.18803391,30.20759983,0.019565918,0.975530953,29.23206888,31.18313078,207.7533386,524.9471868,5,2624.735934
1,H10,HEX,EEF2,Unkn-24,40C,34.10218766,34.2701552,0.167967535,0.50958187,33.76057332,34.77973707,14.0560881,33.65466357,5,168.2733179
1,H11,HEX,EEF2,Unkn-24,40C,34.43812273,34.2701552,0.167967535,0.50958187,33.76057332,34.77973707,14.0560881,26.585763,5,132.928815
2,A04,FAM,HSP90AA1,Unkn-25,40C,28.14659861,28.35963891,0.213040303,0.956653134,27.40298578,29.31629204,507.1914836,1386.913695,5,6934.568477
2,A05,FAM,HSP90AA1,Unkn-25,40C,28.57267921,28.35963891,0.213040303,0.956653134,27.40298578,29.31629204,507.1914836,1029.494092,5,5147.470461
2,B04,FAM,HSP90AA1,Unkn-26,30C,31.1381672,31.45625978,0.318092585,0.276220617,31.18003916,31.7324804,28.08226249,171.1335837,5,855.6679187
2,B05,FAM,HSP90AA1,Unkn-26,30C,31.59504133,31.45625978,0.138781544,0.276220617,31.18003916,31.7324804,28.08226249,124.3242577,5,621.6212883
2,B06,FAM,HSP90AA1,Unkn-26,30C,31.63557082,31.45625978,0.179311041,0.276220617,31.18003916,31.7324804,28.08226249,120.8494556,5,604.2472781
2,C04,FAM,HSP90AA1,Unkn-27,40C,29.23314951,29.51356962,0.28042012,0.944198551,28.56937107,30.45776818,235.3198852,648.6350858,5,3243.175429
2,C06,FAM,HSP90AA1,Unkn-27,40C,29.79398974,29.51356962,0.28042012,0.944198551,28.56937107,30.45776818,235.3198852,438.1678246,5,2190.839123
2,D04,FAM,HSP90AA1,Unkn-28,30C,35.08618498,35.10853944,0.022354455,0.660562952,34.44797649,35.76910239,7.532808448,10.81661923,5,54.08309614
2,D05,FAM,HSP90AA1,Unkn-28,30C,35.1308939,35.10853944,0.022354455,0.660562952,34.44797649,35.76910239,7.532808448,10.48360944,5,52.41804719
2,E04,FAM,HSP90AA1,Unkn-29,40C,33.25678883,33.23645688,0.020331946,0.705813053,32.53064383,33.94226993,30.76030584,38.88535379,5,194.426769
2,E06,FAM,HSP90AA1,Unkn-29,40C,33.21612494,33.23645688,0.020331946,0.705813053,32.53064383,33.94226993,30.76030584,40.00719056,5,200.0359528
2,F04,FAM,HSP90AA1,Unkn-30,30C,33.91775244,34.17339806,0.255645622,0.913374976,33.26002309,35.08677304,8.740249165,24.49135323,5,122.4567661
2,F05,FAM,HSP90AA1,Unkn-30,30C,34.42904369,34.17339806,0.255645622,0.913374976,33.26002309,35.08677304,8.740249165,17.12788562,5,85.63942811
2,G04,FAM,HSP90AA1,Unkn-31,40C,32.03700757,32.1157987,0.078791134,0.820411988,31.29538671,32.93621069,31.75910678,91.26513497,5,456.3256748
2,G05,FAM,HSP90AA1,Unkn-31,40C,32.19458984,32.1157987,0.078791134,0.820411988,31.29538671,32.93621069,31.75910678,81.74062567,5,408.7031284
2,A04,HEX,EEF2,Unkn-25,40C,25.28700075,25.5363115,0.249310748,1.130893274,24.40541823,26.66720477,6003.301023,15214.61341,5,76073.06705
2,A05,HEX,EEF2,Unkn-25,40C,25.78562225,25.5363115,0.249310748,1.130893274,24.40541823,26.66720477,6003.301023,10708.97717,5,53544.88587
2,B04,HEX,EEF2,Unkn-26,30C,27.83762625,28.19113263,0.353506382,0.306232217,27.88490041,28.49736485,454.2337885,2524.081011,5,12620.40505
2,B05,HEX,EEF2,Unkn-26,30C,28.37517274,28.19113263,0.184040106,0.306232217,27.88490041,28.49736485,454.2337885,1728.559791,5,8642.798956
2,B06,HEX,EEF2,Unkn-26,30C,28.36059891,28.19113263,0.169466276,0.306232217,27.88490041,28.49736485,454.2337885,1746.39344,5,8731.967199
2,C04,HEX,EEF2,Unkn-27,40C,28.25571603,28.52693243,0.271216398,1.097509213,27.42942322,29.62444164,731.8093338,1880.279998,5,9401.39999
2,C06,HEX,EEF2,Unkn-27,40C,28.79814883,28.52693243,0.271216398,1.097509213,27.42942322,29.62444164,731.8093338,1283.243497,5,6416.217485
2,D04,HEX,EEF2,Unkn-28,30C,31.45070513,31.13808958,0.312615552,0.708591738,30.42949784,31.84668132,172.5803624,198.1408179,5,990.7040895
2,D05,HEX,EEF2,Unkn-28,30C,30.82547403,31.13808958,0.312615552,0.708591738,30.42949784,31.84668132,172.5803624,307.7604815,5,1538.802408
2,E04,HEX,EEF2,Unkn-29,40C,30.31069925,30.0924441,0.218255154,0.80019217,29.29225193,30.89263627,467.128736,442.2487073,5,2211.243536
2,E06,HEX,EEF2,Unkn-29,40C,29.87418894,30.0924441,0.218255154,0.80019217,29.29225193,30.89263627,467.128736,601.4251783,5,3007.125892
2,F04,HEX,EEF2,Unkn-30,30C,30.09531624,30.39836232,0.303046078,0.872726493,29.52563583,31.27108881,180.7465292,514.6898313,5,2573.449156
2,F05,HEX,EEF2,Unkn-30,30C,30.7014084,30.39836232,0.303046078,0.872726493,29.52563583,31.27108881,180.7465292,335.8618689,5,1679.309345
2,G04,HEX,EEF2,Unkn-31,40C,30.39028814,30.43952141,0.049233261,0.810689974,29.62883143,31.25021138,147.0974337,418.1410305,5,2090.705152
2,G05,HEX,EEF2,Unkn-31,40C,30.48875467,30.43952141,0.049233261,0.810689974,29.62883143,31.25021138,147.0974337,390.1260178,5,1950.630089
